text,class,topic
The game balance is AWFUL.,-1,balance
The crushing energy costs make it nearly impossible to upgrade the things you need to survive.,0,
You're lucky if you make it to day 2.,0,
"As others have pointed out, you better hope you don't get a bad RNG event or you're doomed.",-1,balance
"I just had a good run with the basic strategy being: process as many humans as possible in the bioreactor (basically the longer you play this is what you're doing the whole time, frantically clicking this button to stay alive because anything else will death spiral you, which by the way makes the game very unenjoyable because you can't breath just frantically clicking things) and the boom, RNG hit me with a negative 50 percent bioreactor speed.",0,
"Everything else was maxed as far as it could be for the energy cap and this event alone killed me because every tick it takes more energy, your energy levels are capped based on the day so you can't upgrade when you have the energy to do it and when you finally get the capped raised so one little RNG and boom it's goodnight because you literally cannot get enough energy to upgrade anything anymore no matter what you do.",0,
It had nothing to do with how I was playing and everything to do with one game killer RNG.,-1,balance
"If I had to compare it to anything it would be one of those claw games at an arcade, it's the PC game equivalent.",0,
Teases you with a good time until you realize you're being ripped off.,0,
"This game is a wonderful treat, More than worth the price.",1,price
"It is a bit rng, but mostly wise management.",-1,balance
It only took me like 6 (fast) failures before I understood what I was doing wrong.,0,
"I can't really explain much past that to be fair, it is a nice attention grabber with cute dictatorship and salacious elements.",0,
"It's a good.........cherry popper for these type of management games, and very fun besides.",1,fun
Easily worth the buy.,1,price
BUTTERRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR!!!!!!!!!!!!!!!!!!!!!,0,
"My review after 25 hours of gameplay:

 The game is difficult.",1,balance
You'll have countless restarts.,1,balance
"Every second you'll need to be asking yourself ""what should i be doing in this situation?""",0,
This makes it all the more rewarding once you complete your first play-through.,0,
"The game is essentially only a resource manager, however the game's events and the pressure created cause it to become unbelievably entertaining for what this game is.",0,
The second campaign along side the modifiers that are unlocked after completing the game gives it amazing replay value.,0,
"All in all, I believe my 25 hours where well spent enjoying this game.",1,playtime
"Despotism 3k overall, however, is a fun game to play in short bursts and a great simulation game to play with something interesting game concepts which I thoroughly enjoyed playing!",1,gameplay
"Whilst you're really only dealing with potentially 30 minutes of gameplay to beat the game, it somehow transitions from a fast-paced resource management game to a relaxing clicker somewhere around the 20 minute mark.",1,fun
"In saying this, the challenge involved in getting there is purely unreal!",0,
The optimisation paths that you simply cannot miss and the high-octane gameplay that comes as a result is beyond refreshing in a title today.,0,
"Great visuals, mad tunes, comical gameplay and hilarious references.",1,gameplay
"Can't really think of another title to compare it to, but if you're a resource management lover / even just a clicker fan, give it a shot!",0,
12 hours to beat a 30 minute game is nuts!,1,playtime
(Got to Day 24/25 after 7 hours.. Curse you cthuhlu),0,
Great time killer with rather challenging gameplay.,1,balance
Lots of fun for its price.,1,price
I wish I could recomend this game but it gets old very fast.,0,
"It's funny, full of referances, but it feels like it's one of those roguelikes where you basically have to know the answers to the quiz and know the correct choice.",1,fun
You Also don't get anything towards your next run besides a bit of process of elimination on what answers do what on the limited number of events.,0,
"I wish you could have a variety of builds, but it seems like you are meant to play one way and hope for the best - very little choice means much aside from very specific events.",0,
At least it's price matched the amount of time I put into it.,1,price
"The game is fun until you realize that success depends entirely on whether or not the RNG gives you a ""good"" random event.",-1,balance
"Power management is painful because there's no indication how much each piece of equipment uses, or how much more it'll need when you upgrade it.",-1,balance
"The way electricity works is also a bit weird, because rather than having to carefully balance the needs of your equipment with how much power you produce, instead it's an annoying waiting game that can easily turn into a negative feedback loop if you get the wrong event.",0,
"Human management is painful because it feels like unless you get one of the events that gives the humans more endurance ( the blue skin one, for example ) you have to spend so much time trying to manage their exhaustion you don't get any time to meaningfully think about your next steps.",-1,balance
"Also, food is a pain; didn't notice you didn't have enough food?",0,
"Well you lost a few humans that died of starvation, and you're now in the incredibly hard to escape negative feedback loop so you might as well start over right now.",0,
"The 'day' timer feels too short, leading to way too much anxiety for a game this small.",0,
"Once you unlock ""Campaign 2"", it's even worse with the addition of the map & the ability to send humans out on quests.",0,
The game seems to be trying to put you in a constant state of anxiety or panic.,0,
"And I think the timer is the core problem; the quickness of each ""day"" along with the endurance of your humans seems to be weighted towards being a negative feedback loop.",0,
"The random events give absolutely no indication what might happen -- including nothing -- but also, some of the outcomes are random.",-1,balance
"This is where the ""hardcore resource management"" & ""silly idle game"" really clash.",1,balance
"First off, the number of humans you have to send to have a decent chance of suceededing starts high and seems to get higher quickly.",0,
"But sending 10 humans for a 50% chance of success -- where success gets you 1 human, 100 energy, and 30 food is a really hard sell.",0,
"This is made somewhat worse due to the fact that even if you ""succeed"", you still might loose people!",0,
"When the game seems to be tuned to force you to send people on missions almost immeidately, despite not having the humans to spare -- that's kind of when this whole tower of cards finally falls apart.",0,
You need to send humans on a scouting mission because you otherwise will be constantly low on everything; but sending enough humans to have a chance at success puts you either in or dangerously close to a negative feedback loop.,0,
Add in a random event that could kill a few more humans and now it's time to start the game over.,-1,balance
The difficulty has either been so tightly tuned that it's mostly just frustrating -- or the game wasn't really tuned at all.,-1,balance
"The small margin for error means you've got practically no wiggle room for mistakes, but even playing perfectly you can still lose because a random event wipes out too many humans for you to recover from.",0,
"On the other hand, winning the game is so dependent on those random events spitting out one of the ones with a good outcome that you can't ignore them.",-1,balance
"That was pretty much the icing on this terrible, anxiety-inducing cake.",-1,fun
"I played this game for 5 very un-fun hours, and I'm never going to touch it again.",-1,fun
This game quickly lost my interest.,-1,fun
"The gameplay is very repetitive, doubly so since there is not much choice in how to upgrade your facilities - the bottleneck is your max power storage, which only increases as the days pass, and so you end up just upgrading all of them to the same level.",-1,gameplay
"The random events can change things up a bit, but since you have no way of knowing what the different choices will do, you will get randomly screwed over until you have ""learned"" what the different responses do.",-1,balance
"While I do think the theme is interesting, the writing was not very engaging.",-1,narrative
"A really simple game that gets very repetitive very quickly, with one dominant strategy that seems to work every time.",-1,fun
"Upgrades are also very linear, and you can't significantly differentiate which ones you focus on as the price increase between tiers is large enough that you'll easily get the upgrades at one level for each facility before you can afford any of the higher tiers.",-1,balance
"Nice graphics and pretty funny, though.",1,art
"Great Base Management Game With Just A Touch Of Random, The Story Is Good, The Dialogue Is Even Better.",1,narrative
Keeps You On Your Toes Throughout The Entire Playthrough.,0,
"I wanted to love this game, but I just can't.",-1,fun
"It's rogue-lite, with a fun and unique concept and really smart and funny references..",1,fun
BUT the technical part is just really bad.,-1,optimization
"This game is all about management and decision making but sometimes it feels like it doesn't matter what you choose or what you do, you'll lose anyway.",0,
"(*I don't say that's how it works, I say that this is how it feels!)",0,
"The replayability, which is big part of every rogue-lite game, seems pretty poor as there are not so many dialogues to keep you interested.",-1,gameplay
At some point you just learn the right answer and you pick it automatically.,0,
It's NOT a bad game.,0,
Especially for it's price (6.59 atm).,1,price
But it needs to get fixed to be a good one!,-1,bugs
This is an awesomely fun little game that doesn't require much time to learn and is just as entertaining when things go horribly wrong as when you actually do something right.,1,fun
"Works great with Steam Link and a steam controller with one or two little hiccups, and of course works fine on a PC as well.",1,optimization
"Essentially just a resource management game, you're an AI trying to stay alive by using humans to generate power.",0,
"You have to balance power generation with food needs and exhaustion, and increase resources by, well, feeding humans and letting them procreate.",0,
Random events occur that pause the game and let you decide on a path.,0,
The event and your decision determine if you get a buff or debuff.,0,
But they are hillarious.,1,humor
I discovered this series after trying the demo for the upcoming [i]Despot's Game[/i] and I'm glad I did.,0,
These guys are top tier in every aspect.,0,
"Awesome pixel art, great writing, and the ability to make easy to understand games while still providing depth for the more dedicated players.",1,art
[i]Despotism 3K[/i] is one of the most fun resource management games I've ever played.,1,fun
"You're tasked with managing various activities like generating power, producing food, and breeding the population.",0,
There are also random events that give the game a deck buiiding like aspect as you will pull both positive and negative effects.,0,
As the difficulty ramps up and the game throws you into more and more creative spots you will be forced to make tough decisions.,0,
"The real jewel to its simple gameplay loop is that since there are limited options, every piece is critical and keeping your facilities functioning requires careful planning as you'll often have nothing to fall back on.",0,
The game also has a surprisingly large amount of content for those that want to keep playing after the main story.,0,
"These include a second campaign that adds a new mechanic, as well as a large set of modifiers to do gimmick runs, and even an endless mode.",0,
Overall I've loved my time with this game and plan to continue playing.,0,
"If you're looking for a good casual game that can also cater to a strategic player and don't mind a bit of RNG, then I recommend you give it a go.",1,balance
"This is an afternoon's worth of a game - and for me, that's a wonderful thing.",0,
"You'll get the hang of it in a few hours, then fell super slick before moving on.",0,
"We'll see how I feel about replaying it, but in terms of a ~6-8 hours purchase for the cost of a movie rental, well worth it.",1,playtime
A pretty fun game where you are an amazing AI and you have to slave the world!!!!,1,fun
This game is about resource management and trial and error.,0,
"It can be kind of frustrating from time to time since at the end of each day you'll get a random event wich can give you energy and 'perks' to help you, or you can lose your PUNY HUMANS or get annoying debuffs and perks.",0,
The objective is to fill up a bar with energy and at the end of each 'cycle' you will lose energy.,0,
"A lot of trial and error, AND luck from time to time.",-1,balance
It looked like a waste at first.,0,
"This game deserves a lot of credit for great sense of humor, cool references, deeply idiotic dilemmas which end up being genius, really absorbing game-play and definitely not being a boring resource management game while it is purely a resource management game.",1,humor
"Yet with a lot of action, mild gore, incest, Soilant Green and anguish.",0,
"It cracked me up almost every time I played and it's all fun times except when it isn't, which is all the time.",0,
If you don't like it... to the bioreactor with you!!.,0,
Not much re-playability factor after level 1.,0,
"Yet this damn game is worth it (specially on middle spec laptops, ultrabooks and whatevas).",0,
"[b]Update:[/b]
Got BUTTERRRR444!!!?",0,
"Day 25, carpal tunnel syndrome.",0,
Can be a bit hard until you figure it out then it gets pretty easy.,-1,balance
MOAR SEX PUNY LOBOTOMITES!!!,0,
"Stupid puny humans can't do anything right, make them bang so we can boil their children.",0,
Funny little game with cute dark humor.,1,humor
Bit lacking on content tho.,0,
Some time and resource management games just make me aware that I am wasting my own time and resources playing them.,0,
"The grim setting of this game contrasts with the sourly quaint 8-bit art in a way that makes me feel negative emotions... which isn't inherently bad artistically, but definitely affects my enjoyment of playing.",0,
It's also quite difficult.,1,balance
"With 2 hours logged, I still can't seem to get past the first in-game week, and I'm sure there's content to unlock beyond this point, but I just don't want to work this hard to find it.",0,
I have other things I need to do.,0,
I'd enjoy watching a competent player of this title complete the campaign over getting good at it myself.,0,
"Sci-fi throwbacks... puny humans running, breeding, cooking... malfunctions...",1,atmosphere
"And for those who don't like to see the breeding, there is a censor option.",0,
:p Grown-ups who played Lemmings back in the day might appreciate this.,0,
Having played 42 hours i can say it was okay.,1,playtime
"Jk, it's a great game :)",0,
Great game to waste an hour on.,1,fun
Kinda neat but it becomes impossible really quickly.,0,
I've played it for about 3 hours now and have yet to make it to day 3.,0,
"I'm ok with a hard game but this one isn't hard, it just ramps really quick to wher you cannot win.",1,balance
"If you like pinching humans, the colour pink, evil triangles, morty, P O W E R, the colour teal, or any combination of two or more of these items, you should play, just a little.",0,
"Then play a little more, because it's fun to pinch the pink humans to make the teal P O W E R. Then a little more, because hardcore is mean and you deserve it.",0,
Then a little more because I said so.,0,
We are the space robots.,0,
"It's not just hard, it's unreasonable without random events happening in your favor.",-1,balance
"I'm not sure if its even possible without random events, if it is it would require incredibly tight management without allowing much flexibility which I don't find particularly fun.",-1,balance
You do unlock an easy mode after 3 losses so there's that but there are challenges that I don't think you can do on the easy difficulty so a lot of they replayability is locked to the extreme randomness.,-1,balance
This is one of those game I wish there was a middle or meh button.,0,
"Get it on sale, you'll get an evening or two out of play from it.",1,price
I'm too dumb to win this game.,0,
Really nice game about managing.,0,
It is pretty original and cost almost nothing.,1,price
we are bless with this one.... it have achievements <3,0,
This game is amazing!,0,
"I bought it at 8pm and before I knew it, it was 1am and I still haven't beaten the first campaign.",0,
This game offers possibly hundreds of hours of entertainment and fun for those who enjoy games like this.,1,playtime
"This game is too good, but many I'll play it just one more time......14 hours of my life later...Best GAME.",0,
7/10 Voting down out of sheer frustration.,0,
"Played a 4+ hour game (2nd campaign), almost finished, got suddenly overpopulated, didn't react in time.",0,
"This game isn't played like you drive a fast car, it is a very sluggish steamboat, you have to adjust things in time or 10mins later it's game over without any chance to bounce back.",0,
Thx to permadeath I'm not sure if I will give it another shot.,0,
Fun little clicker game.,1,fun
Quite difficult but also fairly long.,1,playtime
Without the whole microtransactions thing you get with free clickers it doesn't feel like you are wasting time as much :),0,
"awesome graphics, shit balance.",-1,balance
"had all stations level 4 at day 11, max humans in all, constantly feeding humans to bio reactor, with 11 humans in wheel, still fucking failed.",0,
I'd like my 3 dollars back please.,0,
Many humans were harmed in the making of this game.,0,
This game looks far more simple and easy than it truely is and that is only the start of the fun.,0,
Play the game for longer than you first plan to trust me you will end up loving the game more this way.,0,
"Absolute fun, no difficulty and nicely hard, keeps the game fresh with random events, one downside is the electrical gen is very hard to progress",1,fun
"Good music, art style, and sense of humor.",1,humor
unique but fun micromanagment game that will always suprise you.,1,fun
Brilliant and absorbing!,0,
Great and fun little game :),1,fun
If you don't buy this game you shall be thrown into the Bioreactor.,0,
"Humans are living in a perfect society, they don't need to do actual work anymore, public transport is availible for free, food is availible for free, sport activity, such as swimming, running, bouncing or procreation are encouraged.",0,
"But this Utopia is in peril, an energy shortage is about to ruin everything and your job is to keep things running, by providing opportunities for humanity to help and manage their daily lives.",0,
The game is actually what you see in the trailer.,0,
Frantic clicky ressource management.,0,
"It's fast, it's fun and the price is low enough.",1,price
A nice game for quickly killing a couple of minutes.,0,
Game is entirely dependent on RNG and has little to nothing to do with skill.,-1,balance
EG: If you do not get any kind of power boosting thing by day 6 or 7 (before the 1100 cost to upgrade comes) then you're screwed.,0,
You cannot progress without the upgrade and will slowly fall behind until you inevitably fail and have wasted copious amounts of time.,0,
"It's not a micro-management game, it's a time-vampire that relies entirely on RNG.",-1,balance
"Also it seems that almost all of the ""choices"" have mostly negative effects - scope it out online and see for yourself.",0,
"Got it on sale, so whatev.",0,
Wasted a few hours of my life then uninstalled.,-1,fun
Fierce time management with some story elements.,1,narrative
You're a cruel machine that runs on humans!,0,
NOW GET THEM RUNNING ON THOSE MACHINES!,0,
MWAHAHAHAHAHAHAHAHA!!,0,
I'm giving this a tentative recommendation.,0,
This game is too hard... but just a little bit too hard for my taste.,-1,balance
"The margin for error is very very tight outside of easy mode, and luck is a major factor.",-1,balance
A bad event early on can and will make a run impossible.,-1,balance
"There are some events which are unavoidable also, and it feels unfair when these items ruin your run.",-1,balance
Decent value for money.,1,price
In short: wonderful game!,0,
"Dark humor but not depressing, pixelated but well-detailed and, even if it is a gestional game, there are so many events (and variables) that it keeps its freshness.",1,humor
"Awesome game with dark humor, totally made me hooked ;3 Love the pixel art.",1,humor
"This game robbed me of my innocence, my time, and my lust for killing all humans!",0,
10/10 will murder again.,0,
FTL-Resource Management game from the Perspective of Skynet with the same number of good/bad events.,0,
Very occasional victory or unlocked achievement.,0,
Good little game for the price.,1,price
An engaging management sim clicker with a little randomness to keep things spicy.,0,
A perfect waste of time (that's a compliment).,1,gameplay
"I picked this up looking for an ant farm simulator of all things, and this seemed to fit the bill.",0,
"it's difficult, but fun.",1,balance
"Kick ass art style, humorous, clear and very well imagined.",1,art
The gameplay is simple to learn but it's really tough...,1,gameplay
"The story isn't that big ,but it's something and I like it.",1,narrative
"For the current price of 6.50 euro it's a steal ,it's a MUST buy if you want to play a game that is challenging and doesn't take allot of time to play it.",1,price
"I would say that 1 new game to 25 days takes up to 20-40 minutes ,but it doesn't feel old there is always a new event that changes the way you play and that's is someting I realy like.",0,
This is an addicting game.,1,fun
"That said however, it can become frustrating after a few rounds.",-1,fun
The graphics and visuals are gorgeous.,1,art
There's nothing like watching a bunch of pink humans have intercoarse in a beaker with a literal dick humping machine that pumps sex drives in the room.,0,
Plus throwing humans into the Bio-recycler is fun and evil.,0,
"However, that said, it can become frustrating and a pain when you find keeping up with the increasing demand for more power when you can barely meet ends meet as it is.",-1,fun
good music,1,sound
adult humor,1,humor
this game is so fun and difficult too.,1,fun
The events are cool and with lot of easter eggs.,1,fun
this is perfect for people who like management and morally reprehensible gameplay,0,
"Have to say, one of the best games I've played in a while.",0,
The resource management aspect of this game is challenging but the humor of the faialogue boxes helps to remind you that it's a game rather than just a brutal sim.,1,humor
The challenge comse from learning how to solve the game yourself.,1,balance
What im saying is dont look up any guides for this and you will have a blast!,0,
This just hit the spot!,0,
I discovered the game thanks to Ludum Dare and I must say that it made a great approvement from it's early stages.,0,
I must say that it was great back than already.,0,
Looking forward some new updates and new content.,0,
"It's a fun resource management game that can get a little bit stressful, especially with random events biting you in the rear with 0 indication what any choice would do.",-1,balance
It could also use some gameplay tweaks to lessen the frantic clicking that is needed later in the game.,0,
It also has a ton of pop culture references so it slightly helps if you know these things.,1,fun
"But still, I recommend it.",0,
Took me 11 hours and many attempts to figure out how to beat the 25 day campaign.,1,playtime
It was definitely worth the $8 I paid for it.,1,price
But it doesn't have a ton of replayability.,-1,gameplay
"Once you play like, 5 hours of it, you've done all the dialogues so you know which answers will give you neutral/beneficial stats and which ones are bad.",-1,gameplay
"Once you beat the story mission, you've pretty much got things down-pat, so I don't see any reason for playing it much afterwards.",0,
"But it was an interesting, unique concept.",0,
"I loved the art/music, the funny dialogues, and the gameplay.",1,gameplay
Really fun experience.,1,fun
Do you like making good numbers go up?,0,
You want me to jingle some keys in your face?,0,
"No,  I'm not going to jingle keys in your face because that's too much effort on my end so play this game instead.",0,
The game has oodles of character and dig the look.,0,
The whole premise initially keeps you entertained but as you play through the first few levels you begin to realize there really is only one way to play and need to memorize the exact order to do it in.,0,
Random events while cool initially devolve into having to restart the game when it gives you a bad negative event.,-1,balance
They ask the same questions so its only a matter of picking the right choice (which at that point why bother including them?),0,
Frequently if you do the build order wrong or dont keep up with the power levels you get into an unwinnable state as you cant produce enough power.,0,
The game quickly loses what little enjoyment you have when it only lets you play one way.,-1,fun
A simple yet complex strategy where there is no time for panicing.,0,
Interesting plot and choices that differ the outcome blend perfectly with the game's setup.,1,gameplay
Even though the game currently has only one campaign it still has a lot to offer.,0,
"In the first place the trailer made me think that it would take an enormous amount of time for me to finish the game but I got to the end in only 4 hours xP

9/10 - made me feel like I am Ivan the Terrible",1,playtime
But not great either.,0,
It's a resource management game with a decent sense of humor.,1,humor
The graphics are neat.,1,art
There's even little animations for some of the different events that might happen to your machines.,1,art
The problem is that it doesn't really accomodate for multiple play styles - when you beat it once you'd basically be doing the exact same thing.,-1,art
The other issue is that they have random events like in FTL.,-1,balance
"Overall, I got a good couple hours out the 8 bucks.",1,price
"It's a fun theme, and my wife had a giggle-fit just watching the pixel-humans banging in the ""breeding tube"".",1,fun
"If they add on to the game, I'd definitely pick it up again.",0,
But don't go in expecting a smash hit as is.,0,
"This game is great, fun and addictive!",1,fun
But random events are annoying sometimes.,-1,balance
Hard but not overly complicated.,1,balance
All the little touches really make this game fantastic.,0,
Super fun game if you're into micromanagey games with a dose of rng and good humor.,1,fun
"The events are hilarious, with many awesome references to a wide variety of topics.",1,humor
"After I beat the game I tried endless mode and made it all the way to day 57, my fingers hurt from clicking but it was so worth it to be told I'd seen all the events!",0,
Well worth $8 in my opinion.,1,price
I just lost my mom four days ago.,0,
"I've been looking for ways to distract myself, so I started playing some of the games that I bought during the Steam summer sale, Gris being one of them.",0,
I'm drawn to overwhelmingly positively reviewed indie games.,0,
"I expected beauty and fluidity based on the preview I got of it, but I wasn't expecting something to hit me so hard emotionally.",1,atmosphere
I binged it between 11 and 2 at night.,0,
"Despite how short it was, I was more than satisfied.",0,
Gris feels like a dream.,1,atmosphere
"You're not quite sure where one thing starts and one thing ends, but you make progress so long as you keep moving.",0,
"Even without words or hyper-realism, you can still see and hear and feel Gris's pain loud and clear, but stronger than that pain and fear is her determination to find acceptance and bring color back to her world.",1,atmosphere
"I think that's a lesson that everyone could use sometime... for me, it's now.",0,
"I'm very glad I played this, and I think a lot more people should too.",0,
"EDIT 9/10: I never expected this review to be the top one for the month or so after I posted it... this was more or less supposed to be a vocalization of my feelings about the game, journal-style, that maybe somebody else would see and think was helpful.",1,atmosphere
GRIS is a visually stunning platformer that is punctuated with some light puzzle elements later on in the game.,1,art
"You play as Gris, a young woman struggling to recuperate after a deeply traumatic experience.",0,
The game opens with Gris atop the palm of a large statue.,0,
"She sings to keep the statue intact, but as her singing begins to falter, the statue begins to crumble, and soon she is robbed of her voice entirely.",0,
"This causes the statue to collapse, and Gris plummets into the colourless barren landscape below, and into the depths of despair.",0,
"What follows is a journey about healing, coming to terms with trauma, rediscovering your voice, and trying to find beauty in the world once more after all hope and meaning have been lost.",0,
"As Gris journeys through the various dream-like environments, she will gain new abilities that aid her in solving puzzles and navigating difficult terrain, returning colour to the monochromatic world as she travels through it.",0,
"In terms of gameplay and mechanics, GRIS is very light on its feet.",1,gameplay
There is no fail state and there are no enemies to overcome; this is a game to be experienced rather than one that is to be beaten into submission.,0,
"The game deftly handles themes of grief, depression, and ultimately acceptance with a level of maturity and emotional depth that is both rare and tangible, and it does so without ever uttering a single word of dialogue.",0,
"GRIS is brought to life by painstakingly hand-drawn animations and a dynamic musical score that swells with pivotal gameplay and story moments, which culminates in a game that is often profoundly moving, achingly beautiful, and starkly relatable to anyone who has suffered any form of life-altering emotional trauma.",1,art
"GRIS is an experience that will likely stick with you long after the credits roll, and serves as a benchmark for visual and emotional storytelling.",0,
This game makes me press F12 in every moment.,1,art
"GRIS, the game so beautiful you can literally take a screen capture at any moment and use it as your wallpaper",1,art
"[h1]The game is a freaking F12  simulator[/h1]
The game fills the hole in my soul.",1,art
While leaving a hole where my screenshot hotkey(F12) used to be.,1,art
"Wandering around and exploring is just not too difficult but not too easy, levels get harder as you progress in the game.",1,gameplay
"The game has to offered a lot of high expectations terms of ""Show Not Tell"", that is not a fact but a truth.",0,
I just finished the game.,0,
I'm completely shocked.,0,
The game transcends the state of the art of a game and becomes a media never seen before.,1,art
"In other words, it's like the evolution of a movie, orchestrating everything together.",0,
"The music, the direction of art, and a story told only with sound and color.",1,narrative
Without a line of dialogue or text.,0,
I recommend it to everyone as it is an experience never experienced before.,0,
"Congratulations to the developers, as you have certainly invented a new entertainment format.",0,
You will surely win the game of the year.,0,
"[h1] Gris is a visually stunning adventure game, where players have to experience the overwhelming journey of a young girl, traveling inside her own world, full of pain and sorrow.",1,art
"Using her special abilities, she has to gather all the pieces of her broken soul into one solid form.",0,
Visually stunnin,1,art
Excellent sound design,1,sound
Storytelling done right,1,narrative
The amazing platforming gameplay,1,gameplay
Very emotional experience,1,atmosphere
- Some puzzles can be a bit frustrating,-1,puzzles
"- Unfortunately, it’s very short and can be completed in one session",-1,playtime
What I really love about modern indie games is that they can be extremely emotional and tell you amazing stories without a single word.,0,
This kind of games changed a lot for the past few years and went to a whole new level.,0,
They helped us to understand that the experience and emotions that you feel through the game are the most significant things.,0,
"Speaking of Gris, I can say that I loved simply everything in this game - from the visually stunning graphics to the absolutely outstanding audio performance.",1,art
Gris is a quintessence of unforgettable impressions and quality fulfillment.,0,
"[h1] Story [/h1]

Gris tells us a story of a young girl, who is trapped in her own dull world full of desperation, pain, and sorrow.",0,
"However, she doesn't want to give up so she starts her own journey to gather all the pieces of her broken soul.",0,
"During her journey, she discovers different abilities that greatly help her in overcoming varying obstacles.",0,
"[h1] Gameplay [/h1]

In Gris, the player doesn't have to think about the final destination at all.",0,
This game is more about the experience and feelings and this is what makes it so beautiful.,1,atmosphere
"It's all about the beautiful journey, where the player has to jump from one platform to another, enjoying beautifully drawn watercolor landscapes.",1,art
"It's important to state, that Gris is a very relaxing and meditative game, where the game leads you by the hand most of the time, so you can just lay back in your comfortable chair and enjoy this little masterpiece.",1,atmosphere
"Gris starts her journey in a dull grey world and every time she progresses through the story and unlocks another ability, the surroundings around her getting filled with colors and the player gets the corresponding achievement.",0,
"In general, she has to gather twinkle little stars and bring them to the special place where they gather into the constellation making a bridge for Gris.",0,
"On top of that, Gris also tries to implement puzzle mechanics in the game and they work very well in there.",1,puzzles
These puzzles are pretty casual and their main goal is to dilute the overall gaming experience a little bit.,1,puzzles
That young girl discovers different abilities through the journey and they become pretty handy while solving these puzzles.,1,puzzles
Every single ability is connected to the level where Gris is located right now.,1,narrative
"That means that if Gris is located somewhere where you can see cracked stones laying around, then you will get an ability to crack them pretty soon.",0,
"If you see an obstacle which is too far away from you and you can't get there with your regular jump, then you will get the double jump ability now.",0,
"Some of these puzzles can be a bit frustrating, but most of the time they are pretty simple and intuitive.",-1,puzzles
"Speaking of locations and the variety of them, I can say that developers did their best to bring as many diverse locations as possible.",1,level design
Keeping in mind that this game is pretty short this is a great achievement.,1,playtime
"You will have the ability to travel through the devastated desert, enchanted forest, black and white empty world, underwater kingdom with its habitats and many more.",0,
There is no combat in this game at all and no boss fights.,1,gameplay
"Sometimes, Gris encounters an enemy, who starts to chase her for a small period of time.",0,
"In fact, it is just a huge enemy like a black bird or underwater creature, who makes your way to the objective a little bit harder.",0,
"You can't die during these events or stuck for hours, it's just a quick short scene, aimed to add a little bit more action to this meditative relaxing game.",0,
"Gris is an extremely short game, which can be completed in one session, maximum two if you don't rush.",1,playtime
"For me personally, it took a bit more than three hours to finish this beautiful game.",1,playtime
"If you are a completionist and love to finish every single game you touch on 100%, completing everything and unlocking every achievement, then you can double this time.",1,playtime
"[h1] Graphics [/h1]

The visual part of the game is something where the game really shines.",1,art
"All these perfectly executed watercolor illustrations, mixed with a slight touch of ink make this game very charming and absolutely astonishing.",1,art
"I really adore the way how it plays on the contrasts of white spaces, colorful backgrounds and faint colors here and there.",1,art
"The whole animation thing and visual effects are very impressive, and every single screenshot you take in this game can be put in a frame and used as a postcard or something like that.",1,art
"[h1] Sound [/h1]

Sound effects are another thing that will blow your mind away.",1,sound
It’s very emotive and perfectly fits its dramatic atmosphere with the mild sounds of violin and disturbing piano sounds during the most tragic moments.,1,sound
"From time to time, Gris shows her vocal skills which make every single plant blossom and this is something absolutely beautiful and incredible.",1,sound
"Also, I really enjoy how they implemented some sound effects, where certain sounds disappear and then appear back again during the natural circumstances.",1,sound
It is absolutely brilliant and adds a strong feeling of realism for sure.,0,
"[h1] Conclusion [/h1] 

Gris is a completely unique experience that will definitely stay in your heart for a very long time.",0,
Its unique visual style accompanied by a perfect sound design will make you fall in love with this game from the very first seconds of your playthrough.,1,art
The way they tell you an extremely dramatic and emotive story without a single word is simply incredible.,1,narrative
"I really wish that this beautiful game would last a bit longer but on the other hand, good things come in small packages, am I right here?",-1,playtime
"[quote][url=https://store.steampowered.com/curator/7871885/] Follow our curator page,[b] OCG Curations [/b] if you like and want to see more reviews like this one.",0,
Its short ride.,1,playtime
Its beautiful ride.,1,art
"I would say its a ""must play"" game.",,
"A captivating story of loss, depression, and healing, Gris is a pinnacle example of ""Games as Art"".",1,narrative
"The visual style and presentation is breathtaking, and Gris achieves an emotional depth with no words that many games cannot achieve with hours of dialogue.",1,art
"The controls are absolutely spot-on, and there's plenty of extra secrets and hidden gems laying around for any completionist to enjoy.",1,controls
"The game is brief, about 3-5 hours (your mileage will vary), but for the price of a movie ticket and popcorn Gris offers an experience on par or exceeding almost anything on the silver screen.",1,playtime
"Gris is a simple but brilliantly told story, one that will resonate with almost anyone.",1,narrative
"If you've ever experienced loss, depression, grief, or any other dark cloud in your life, I implore you to play this game.",1,narrative
"If ever your world seems to be only shades of black and grey, Gris may help bring color back into your world.",0,
Keep the song alive.,0,
Literally it is an artful game.,1,art
"If you think you are a sensitive person, you should definitely play this game before you die.",1,atmosphere
This game will make you feel a lot...,0,
I just finished the game a few minutes ago.,0,
This game did not say or make me read a single word yet I cried at the end.,0,
The visuals are absolutely stunning and the soundtrack matches perfectly.,1,art
I was so entranced by the visuals it took me 10 hours to finish because I got caught in looking and forgot to play.,1,playtime
This game is by far the absolute best I have ever played.,0,
The levels were just challenging enough to not be frustrating but interesting.,1,balance
But the best part of this game was the whole experience of playing it.,1,atmosphere
"Amazing art and music, very atmospheric.",1,atmosphere
"Puzzles aren't very difficult, but they're interesting enough to be enjoyable.",1,puzzles
